Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_3 collision detected at time: 1195000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1205000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1215000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1225000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1235000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1245000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1255000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1265000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1275000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1285000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1295000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1305000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1315000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1325000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1335000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1345000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1355000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1365000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1375000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1385000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1395000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1405000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 1415000, Instance: tb_Top_Level.uut.blk_mem_gen_0_inst.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B  read address: 0
